,Headline,1
0,$1 Billion Worth Of Cocaine Seized,1
1,$1 Million In Marijuana Found Smuggled In Ford Fusions,1
2,$30 Million Donation From Chan-Zuckerberg Charity To Help Kids Learn To Read Returned,1
3,$5 Computer Sells Out In One Day,1
4,$500 Million Upgrade Planned For Willis Tower,1
5,$900 Million Lawsuit Might Hinge On Whether Ghosts Real,1
6,1 Billion Users Log Onto Facebook In Single Day,1
7,"1,000-Bed Hospital Ships Deployed To New York, LA",1
8,10 Best Places To Raise A Family,1
9,10 Crazy Optical Illusions,1
10,10 Mistakes New Parents Always Make,1
11,10 Reasons Falling For Shameless Click Bait Makes You A Bad Mother,1
12,10 SIZZLING HOT Sex Tips,1
13,"10 Sexiest Photos Of Kates, Uptons",1
14,10 Things That Will Make You SUPER Nostalgic For The ’90s,1
15,10 Utterly Unremarkable TV Shows To Transform Your Existence Into A Monochromatic Blur Where Each Day Is Indistinguishable From The Last,1
16,"10,000 Employees Accuse Chipotle Of Wage Theft",1
17,10-Pack Of Swiss Miss Bracing Itself To Shoulder Burden Of Holding Together Man’s Depressing Holiday Alone,1
18,10-Pound Fetus About To Fucking Wreck Small Mom,1
19,104-Year-Old Reveals Secret To Long Life Being Cursed By Witch To Wander Earth Eternally,1
20,11 Dogs So Perfect They’ll Make You Google Your State’s Bestiality Laws,1
21,11 Greatest Sports Moments Made Possible By PEDs,1
22,11 Simple Cocktail Recipes To Try While Quarantining,1
23,113-Year-Old Beats Coronavirus,1
24,12 Sure Signs You Directed The 2006 Motion Picture ‘Babel’,1
25,12 Top-Paying Jobs In The U.S.,1
26,12 Xtreme Slides Just For Teens,1
27,"13 Adorable Photos Of Baby Farm Animals, But With Each Click, Another Appendage Will Be Cut Off Our Finance Director’s Body. How Far Will You Go? When Will You Let It Stop?",1
28,13 Most Common Questions Employers Will Ask At A Job Interview,1
29,13.5 Million Americans Tune In To Watch Animal Planet’s ‘Puppy Parley’ During DNC Debate Halftime Show,1
30,15 Popes They Didn’t Tell You About In Sunday School,1
31,"18-To-35 White, Male Demographic Still Searching For Perfect Way To Quench Its Thirst",1
32,19 Tweets From The Audubon Society/Barack Obama Twitter Feud,1
33,20 Years Of Harry Potter,1
34,200 Million Voters’ Data Leaked Online,1
35,2015 NFL Season Preview,1
36,2015 Shark Attacks Set New Record,1
37,2016 In Entertainment,1
38,2016 In International News,1
39,2016 In Sports,1
40,2016 In Technology,1
41,2016 In The Economy,1
42,2016 Sees Record Number Of Female-Led Films,1
43,2016 Set To Be Hottest Year On Record,1
44,2017 Sets All-Time Record For Store Closings,1
45,2018 Fourth-Hottest Year On Record,1
46,2018 NFL Season Storylines To Watch,1
47,2018 Winter Olympics Cancelled Due To Inclement Weather,1
48,2019 Second-Hottest Year On Record,1
49,"2019 VMAs Full Of People You Don’t Know, You Desiccated Corpse, You Putrid Crone, You Might As Well Be Dead",1
50,"2020 Presidential Candidate Pete Buttigieg Announces Bold Plan For 2,500-Mile Intercontinental Riverwalk",1
51,23AndMe Forensic Kit Informs Customer What Crimes He’s Committed,1
52,24 Million Would Lose Coverage Under GOP Health Plan,1
53,25% Of U.S. Adults Suffer Hearing Loss,1
54,25-Year-Old Man No Longer Impressed By Mewtwo,1
55,3 More States Vote To Legalize Marijuana,1
56,3 Scientists Win Nobel Prize For Work On Nature Of Universe,1
57,30-Minute Silence In Car Broken With ‘We’re Making Good Time’,1
58,360 Tour: Inside The RNC,1
59,4-Year-Old Convinced Father A Moron After 45th Consecutive Hide-And-Seek Victory,1
60,42% Of New Cancer Patients Lose Their Life Savings,1
61,43 Shootings Committed By U.S. Toddlers This Year,1
62,"500,000 Votes Already Cast In 2016 Election",1
63,500-Mile Dead Zone Found Off Atlantic Coast Linked To Runoff From Olive Garden Alfredo Pipe,1
64,55-Year-Old Guy Dominating YMCA Pickup Basketball Game,1
65,"6,000 Inmates Granted Early Release",1
66,6-Year-Old Hoping It’s Not Too Late To Shift Career Path From Astronaut To Firefighter,1
67,6th-Graders Feel Kind Of Bad After Seeing How Easy It Was To Make Young Teacher Cry,1
68,7 Things We Learned From Sony’s ‘The Last Of Us Part II’ Media Event,1
69,7 Times We Mistook Some Random Long-Haired Guy In The Sky For Jesus,1
70,7 Total Randos Found Dead,1
71,7-Eleven Delivering ‘Date Night Pack’,1
72,"7.7 Magnitude Earthquake Strikes Jamaica, Cuba",1
73,70% Of Earth Can’t See Milky Way,1
74,73-Year-Old Billie Eilish Breaks Silence To Discuss Ravages Of Fame In Interview From Hermetically Sealed Mansion,1
75,74 Normal Photos And 2 Kinda Weird Ones,1
76,76ers Expected To Fire GM Who Created Anonymous Twitter Accounts To Criticize Team,1
77,77% Of Laid-Off Workers Expect To Be Rehired By Employer In Future,1
78,8 Electrical Outlets That Would Love The Opportunity To Power A Coffee Maker,1
79,8 INSANELY CUTE Child Soldiers,1
80,8 Men Own As Much Wealth As Half The World,1
81,8 Unlikely Animal Friendships,1
82,84% Support Marijuana Legalization,1
83,89-Year-Old Football Fan Still Finds It Surreal That Draftees Are Younger Than Him,1
84,"8Chan, Popular Message Board For Mass Shooters, Goes Dark",1
85,9 Inconsistencies In The Mysterious Disappearance Of The Countess Wellington,1
86,911 Operator Informs Black Caller That Death Is On The Way,1
87,93-Year-Old Grandmother At Thanksgiving Worried This Last Time She Sees Fuck-Up Grandson Before He Dies,1
88,A Basic Guide To Dream Interpretation,1
89,A Coveted Endorsement In Iowa,1
90,A Guide To The USMCA Trade Deal,1
91,A History Of Weezer,1
92,A Look At The Class Of 2020,1
93,"A Look Back At Derrick Rose, The Chicago Bulls’ All-Time Greatest Patient",1
94,"A Look Back At The Career Of Kobe Bryant, The NBA’s All-Time Greatest Ego",1
95,A Look Back At The Kentucky Derby: The Most Abusive 2 Minutes In Sports,1
96,A Look Back At The Obama Administration: A Well-Obstructed Machine,1
97,A Look Back At Tony Romo: The Dallas Cowboys All-Time Leading Bone Breaker,1
98,A Preview Of All The Games Corey’s Mom’s Boyfriend Is Going To Buy Him This Summer,1
99,A Primer On Everyday Sexism,1
100,A Primer On History’s Greatest Presidents,1
101,A Primer On North Korea,1
102,A Primer On The Dark Web,1
103,A Standstill In The Trial Of Harvey Weinstein,1
104,A Timeline Of Abraham Lincoln’s Life,1
105,A Timeline Of Aviation History,1
106,A Timeline Of Construction On The White House,1
107,A Timeline Of Halloween History,1
108,A Timeline Of Influential Psychological Experiments,1
109,A Timeline Of Marijuana,1
110,A Timeline Of Mass Protests In U.S. History,1
111,A Timeline Of Presidential Communication,1
112,A Timeline Of The EPA,1
113,A Timeline Of The Feminist Movement,1
114,A Timeline Of Transgender Rights In America,1
115,A Timeline Of U.S.–Iran Relations,1
116,A Timeline Of Valentine’s Day History,1
117,A True Miracle: This Woman Just Gave Birth To A Nintendo Switch,1
118,A True War: EA Reveals The Next Battlefield Game Will Take Place In A Divorcing Family,1
119,A-Rod Retires: Looking Back At The Greatest Player In Biogenesis History,1
120,A.I. Making It Easier To Falsify Video Evidence,1
121,ABC News Fires Hot Mic For Converting Sound Waves Of Anchor Revealing Network Spiked Epstein Story,1
122,ABC Producers Blasted For Controversial Selection Of Underage ‘Bachelorette’,1
123,ACA Enrollment Highest In States That Voted Trump,1
124,AMC Reports Record Revenues,1
125,AOL Instant Messenger Shutting Down Permanently,1
126,Abortion: Myth Vs. Fact,1
127,About ‘The Topical’,1
128,Activists Charged For Undercover Planned Parenthood Recordings,1
129,Activists Petition Cupcake Kingdom To Address Adorable Housing Crisis,1
130,Actor Quits Hellboy Reboot Over Whitewashing Controversy,1
131,Actress Allegedly Bites Beyoncé's Face,1
132,Ad Agency Apologizes For Racist Commercial,1
133,Adam Carolla Crowdfunding ‘No Safe Spaces’ Movie,1
134,Adam Eaton Spends Nationals Parade In Secure Bunker As Team’s Designated Survivor,1
135,Adam Gase To Play All 22 Positions After Pushing Out Entire Jets Team,1
136,Adam Silver Sends League-Wide Memo Just Asking Players Where The Fuck They Want To Play,1
137,Adam Silver Shows Solidarity With Players By Inserting Self As Milwaukee Bucks Point Guard,1
138,Adele Blocks New Album From Streaming,1
139,Adidas To Help Change Native American Mascots,1
140,Adrenaline Supply Intended For Lifting Car Off Loved One Called Upon To Carry 4 Grocery Bags At Once,1
141,"Adults Born Premature Have Lower Income, Fewer Partners",1
142,Advisors Instruct William Barr To Avoid Referring To Trump As ‘My Liege’ During Confirmation Hearing,1
143,Aetna Honors All The Brave Insurance Debt Collectors Continuing To Work In This Difficult Time,1
144,Aetna Pulls Out Of Obamacare Markets,1
145,"After Decades As A Print-Only Publication, Onion Gamers Network Has Decided That The Internet Is The Future Of Video Game Journalism",1
146,Agent Asks Failing Actor If He’s Considered Becoming Alt-Right Commentator,1
147,Aggressive Flagellate Just Going Around Whipping Other Single-Celled Organisms,1
148,"Agile, Dynamic Company Able To Respond To Any Challenge By Laying Off Half Of Staff",1
149,Aging Tom Cruise No Longer Able To Climb Outer Wall Of Skyscraper Without Taking Break Halfway Through,1
